,report_id,date_time,police_beat,street_no,street_dir,street_name,street_type,cross_st_dir,cross_st_name,cross_st_type,violation_section,violation_type,charge_desc,injured,killed,hit_run_lvl,zip_code
0,170166,1/1/17 0:01,124,8300, ,CAM DEL ORO, , , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,92037
1,170218,1/1/17 0:01,325,8100, ,ROYAL GORGE,DRIVE, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,92119
2,170101,1/1/17 0:01,322,6400, ,CRAWFORD,STREET, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,92120
3,170082,1/1/17 0:01,935,5500, ,VALERIO,TRAIL, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,92130
4,170097,1/1/17 1:00,521,1000, ,11TH,AVENUE, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,
5,170220,1/1/17 1:00,524,1000, ,A,STREET, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,US
6,170153,1/1/17 1:18,437,2600, ,RAMFOS,PLACE, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,,92139
7,170035,1/1/17 1:53,935,3900, ,DE LA VALLE, , , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,
8,170044,1/1/17 1:58,115,9100, ,SYDNEY,COURT, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,92122
9,170042,1/1/17 2:00,122,1600, ,HORNBLEND,STREET, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,92109
10,170041,1/1/17 2:00,122,900, ,EMERALD,STREET, , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,0,0,MISDEMEANOR,92109
11,170139,1/1/17 2:03,434,0, ,IMPERIAL,AVENUE, , VIEWCREST DR,DRIVE,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,,
12,170090,1/1/17 4:10,813,2900, ,LAUREL,STREET, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,92104
13,170073,1/1/17 4:43,242,10000, ,BLACK MTN,ROAD, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,,92126
14,170217,1/1/17 5:26,823,5800, ,UNIVERSITY,AVENUE, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,92115
15,170074,1/1/17 6:56,243,6900, ,MIRAMAR,ROAD, , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,1,0,,
16,170118,1/1/17 11:25,123,2500, ,INGRAHAM,STREET, , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,1,0,,92109
17,170067,1/1/17 11:37,123,2400,W,MISSION BAY,DRIVE, , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,1,0,,92109
