Month,Rain (in),Rain (mm)
2016-05,0.44,11.176
2016-06,0,0
2016-07,0,0
2016-08,0,0
2016-09,0.32,8.128
2016-10,0.07,1.778
2016-11,0.61,15.494
2016-12,4.22,107.188
2017-01,3.01,76.454
2017-02,3.71,94.234
2017-03,0.08,2.032
2017-04,0.01,0.254
2017-05,0.92,23.368
2017-06,0.02,0.508
2017-07,0,0
2017-08,0,0
2017-09,0.08,2.032
2017-10,0,0
2017-11,0.02,0.508
2017-12,0.07,1.778
2018-01,1.78,45.212
2018-02,0.36,9.144
2018-03,0.95,24.13
2018-04,0.02,0.508
2018-05,0.12,3.048
2018-06,0,0
2018-07,0,0
2018-08,0,0
2018-09,0,0
2018-10,0.57,14.478
2018-11,0.81,20.574
2018-12,2.78,70.612
2019-01,2.8,71.12
2019-02,3.42,86.868
